Week,Location,Day,Start Time,End Time
20-25; 27-33,FIP 129,Tue,1899-12-30 18:00:00,1899-12-30 21:00:00
20-25; 27-33,FIP 250,Fri,1899-12-30 9:00:00,1899-12-30 12:00:00
20-25; 27-33,LIB L304,Mon;Wed;Fri,1899-12-30 9:30:00,1899-12-30 10:30:00
16,ART 206,Mon;Tue;Wed;Thu;Fri;Sat,1899-12-30 15:00:00,1899-12-30 21:00:00
16,LIB 303,Wed;Thu;Fri;Sat;Sun,1899-12-30 15:00:00,1899-12-30 17:00:00
17,ART 365,Mon;Tue;Wed;Thu;Fri;Sat,1899-12-30 17:00:00,1899-12-30 19:00:00
28,LIB 303,Thu,1899-12-30 13:30:00,1899-12-30 15:00:00
14,EME 1153,Fri,1899-12-30 16:00:00,1899-12-30 17:00:00
34,LIB L312,Wed,1899-12-30 17:30:00,1899-12-30 21:30:00
21,ART 374,Thu,1899-12-30 13:00:00,1899-12-30 14:00:00
36,EME 1202,Mon,1899-12-30 8:30:00,1899-12-30 12:30:00
8,EME 2141,Thu,1899-12-30 17:00:00,1899-12-30 20:00:00
31,SCI 333,Wed,1899-12-30 19:30:00,1899-12-30 21:30:00
20-25; 27-33,FIP 124,Fri,1899-12-30 11:30:00,1899-12-30 12:30:00
2-Jan,SCI 396,Mon;Tue;Wed;Thu;Fri,1899-12-30 8:00:00,1899-12-30 12:00:00
30,LIB L302,Mon,1899-12-30 10:30:00,1899-12-30 12:00:00
7,SCI 396,Fri,1899-12-30 15:30:00,1899-12-30 17:30:00
27,ART 203,Wed,1899-12-30 17:00:00,1899-12-30 20:00:00
15-Mar,EME 2202,Tue,1899-12-30 11:30:00,1899-12-30 13:30:00
34-36,ART 206,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
8,ASC 130,Tue,1899-12-30 18:00:00,1899-12-30 20:00:00
20-25; 27-33,FIP 138,Wed;Fri,1899-12-30 12:30:00,1899-12-30 14:00:00
20-25; 27-33,LIB L317,Mon;Wed;Fri,1899-12-30 8:30:00,1899-12-30 9:30:00
35,FIP 247,Fri,1899-12-30 12:30:00,1899-12-30 16:30:00
7,ART 114,Wed,1899-12-30 17:00:00,1899-12-30 18:00:00
34,FIP 133,Tue,1899-12-30 8:30:00,1899-12-30 12:30:00
12,FIP 139,Wed,1899-12-30 17:00:00,1899-12-30 19:00:00
2,ART 204,Mon,1899-12-30 7:00:00,1899-12-30 22:00:00
39-44,FIP 140,Mon,1899-12-30 12:30:00,1899-12-30 14:00:00
41,EME 1121,Fri,1899-12-30 8:30:00,1899-12-30 12:00:00
8,EME 2111,Thu,1899-12-30 14:00:00,1899-12-30 16:30:00
27,ART 204,Thu,1899-12-30 14:00:00,1899-12-30 16:00:00
20-25; 27-33,SCI 333,Mon;Wed,1899-12-30 11:00:00,1899-12-30 12:30:00
20-25; 27-33,ART 103,Mon;Wed;Fri,1899-12-30 10:30:00,1899-12-30 11:30:00
7,ART 110,Fri,1899-12-30 10:30:00,1899-12-30 16:30:00
15-Apr,FIP 239,Fri,1899-12-30 14:00:00,1899-12-30 15:30:00
20-25; 27-33,ART 366,Tue;Thu,1899-12-30 17:00:00,1899-12-30 18:30:00
28,ART 210,Tue,1899-12-30 17:00:00,1899-12-30 20:00:00
20-25; 27-33,ART 210,Thu,1899-12-30 14:00:00,1899-12-30 15:00:00
11,ASC 140,Wed,1899-12-30 19:30:00,1899-12-30 21:30:00
36,ART 214,Thu,1899-12-30 8:30:00,1899-12-30 12:30:00
32-33,ART 215,Wed,1899-12-30 11:30:00,1899-12-30 12:30:00
28,ART 382,Wed,1899-12-30 9:30:00,1899-12-30 11:00:00
21,ART 102,Thu,1899-12-30 19:00:00,1899-12-30 21:00:00
35,SCI 396,Thu,1899-12-30 8:30:00,1899-12-30 12:30:00
52,ART 365,Mon;Tue;Wed;Thu;Fri,1899-12-30 7:00:00,1899-12-30 22:00:00
27,FIP 239,Fri,1899-12-30 18:00:00,1899-12-30 21:00:00
37-41,EME 2202,Fri,1899-12-30 10:30:00,1899-12-30 12:30:00
34,ART 215,Tue,1899-12-30 8:30:00,1899-12-30 12:30:00
10,ART 103,Fri,1899-12-30 10:00:00,1899-12-30 12:30:00
24,LIB L317,Wed,1899-12-30 15:30:00,1899-12-30 17:30:00
20-25; 27-33,FIP 129,Wed,1899-12-30 18:00:00,1899-12-30 19:00:00
15-Mar,EME 2205,Mon,1899-12-30 8:00:00,1899-12-30 9:00:00
11,ART 206,Tue,1899-12-30 11:00:00,1899-12-30 13:00:00
34-36,ART 108,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
11,EME 2181,Tue,1899-12-30 11:00:00,1899-12-30 12:30:00
24,EME 1101,Fri,1899-12-30 17:00:00,1899-12-30 22:00:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,1899-12-30 15:00:00,1899-12-30 21:00:00
13,SCI 236,Thu,1899-12-30 9:30:00,1899-12-30 11:30:00
34,ASC 130,Mon,1899-12-30 8:30:00,1899-12-30 12:30:00
1,EME 1101,Fri,1899-12-30 10:30:00,1899-12-30 12:30:00
39-44,ART 210,Tue;Wed;Fri,1899-12-30 14:30:00,1899-12-30 17:00:00
14-Dec,ART 382,Fri,1899-12-30 13:30:00,1899-12-30 15:30:00
15-Mar,LIB L304,Thu,1899-12-30 9:30:00,1899-12-30 12:30:00
16-18,FIP 239,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
16,EME 1153,Tue,1899-12-30 12:00:00,1899-12-30 17:00:00
14-Aug,EME 1153,Thu,1899-12-30 16:00:00,1899-12-30 17:00:00
15-May,EME 1202,Fri,1899-12-30 15:00:00,1899-12-30 16:00:00
40,ART 208,Mon;Tue;Wed;Thu;Fri,1899-12-30 8:30:00,1899-12-30 17:00:00
8,ASC 165,Thu,1899-12-30 17:00:00,1899-12-30 20:00:00
39-43,SCI 337,Tue;Wed;Fri,1899-12-30 8:30:00,1899-12-30 11:00:00
35,ASC 140,Thu,1899-12-30 17:30:00,1899-12-30 21:30:00
41,ART 203,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
38-46,FIP 129,Thu,1899-12-30 13:30:00,1899-12-30 15:30:00
10,FIP 124,Wed,1899-12-30 9:30:00,1899-12-30 11:00:00
25,EME 1151,Thu,1899-12-30 13:00:00,1899-12-30 15:30:00
15-Mar,LIB L306,Tue,1899-12-30 14:00:00,1899-12-30 15:00:00
28,FIP 124,Thu,1899-12-30 14:30:00,1899-12-30 15:30:00
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
39-44,ART 103,Mon;Thu,1899-12-30 13:00:00,1899-12-30 16:30:00
45; 52,SCI 337,Mon;Tue;Wed;Thu;Fri,1899-12-30 7:00:00,1899-12-30 22:00:00
35,ART 214,Thu,1899-12-30 17:30:00,1899-12-30 21:30:00
27,LIB L317,Thu,1899-12-30 18:30:00,1899-12-30 21:00:00
34-36,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
18,ART 210,Mon,1899-12-30 8:30:00,1899-12-30 13:30:00
34-36,EME 2111,Fri,1899-12-30 15:00:00,1899-12-30 16:00:00
25-28,FIP 121,Mon,1899-12-30 18:00:00,1899-12-30 19:30:00
21-33,EME 2141,Tue;Thu,1899-12-30 11:00:00,1899-12-30 12:30:00
52,ART 365,Mon;Tue;Wed;Thu;Fri,1899-12-30 7:00:00,1899-12-30 22:00:00
20-25; 27-33,LIB L317,Tue;Thu,1899-12-30 11:00:00,1899-12-30 12:30:00
36,FIP 121,Mon,1899-12-30 17:30:00,1899-12-30 21:30:00
35,FIP 204,Fri,1899-12-30 8:30:00,1899-12-30 12:30:00
1,SCI 128,Mon;Tue;Wed;Thu;Fri,1899-12-30 9:00:00,1899-12-30 16:00:00
15-Mar,EME 1202,Tue;Thu,1899-12-30 8:00:00,1899-12-30 9:30:00
24,ART 365,Mon,1899-12-30 15:30:00,1899-12-30 18:00:00
2-Jan,SCI 396,Mon;Tue;Wed;Thu;Fri,1899-12-30 8:00:00,1899-12-30 12:00:00
3,LIB L312,Tue,1899-12-30 12:00:00,1899-12-30 15:30:00
1,SCI 396,Mon;Tue;Wed;Thu;Fri,1899-12-30 13:00:00,1899-12-30 16:30:00
16,ART 202,Tue,1899-12-30 7:00:00,1899-12-30 20:00:00
20-25; 27-33,ASC 140,Tue;Thu,1899-12-30 11:00:00,1899-12-30 12:30:00
26,FIP 140,Wed,1899-12-30 7:00:00,1899-12-30 16:30:00
20-25; 27-33,ART 365,Mon;Wed;Fri,1899-12-30 10:30:00,1899-12-30 11:30:00
46-51,ART 108,Mon,1899-12-30 16:30:00,1899-12-30 17:30:00
20-25; 27-33,FIP 129,Thu,1899-12-30 14:00:00,1899-12-30 17:00:00
34,ART 382,Mon;Tue;Wed;Thu,1899-12-30 14:00:00,1899-12-30 17:00:00
1,FIP 204,Tue;Wed;Fri;Sat,1899-12-30 8:00:00,1899-12-30 20:00:00
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
16,SCI 126,Wed;Thu,1899-12-30 9:00:00,1899-12-30 17:00:00
15-Mar,ASC 140,Mon;Wed;Fri,1899-12-30 9:30:00,1899-12-30 10:30:00
28,ART 210,Thu,1899-12-30 17:00:00,1899-12-30 21:00:00
15-Mar,ART 374,Wed,1899-12-30 8:30:00,1899-12-30 10:30:00
15-Mar,FIP 124,Wed;Fri,1899-12-30 12:30:00,1899-12-30 14:00:00
15-Mar,EME 1121,Wed;Fri,1899-12-30 14:00:00,1899-12-30 15:30:00
15-Mar,LIB L312,Mon;Wed;Fri,1899-12-30 12:30:00,1899-12-30 13:30:00
35,ART 374,Fri,1899-12-30 12:30:00,1899-12-30 16:30:00
15-Mar,EME 2205,Wed,1899-12-30 17:30:00,1899-12-30 19:30:00
34,FIP 140,Tue,1899-12-30 8:30:00,1899-12-30 12:30:00
25,ART 204,Tue,1899-12-30 14:00:00,1899-12-30 17:00:00
7,LIB L304,Fri,1899-12-30 8:00:00,1899-12-30 10:00:00
37,ART 112,Mon;Tue;Wed;Thu;Fri,1899-12-30 8:30:00,1899-12-30 16:00:00
45; 52,SCI 333,Mon;Tue;Wed;Thu;Fri,1899-12-30 7:00:00,1899-12-30 22:00:00
18,ART 104,Mon,1899-12-30 12:30:00,1899-12-30 17:30:00
20-25; 27-33,LIB L317,Mon;Wed,1899-12-30 12:30:00,1899-12-30 14:00:00
11,LIB L302,Fri,1899-12-30 12:30:00,1899-12-30 14:30:00
20-25; 27-33,ART 366,Mon;Wed;Fri,1899-12-30 11:30:00,1899-12-30 12:30:00
15-Mar,EME 1101,Mon;Wed;Fri,1899-12-30 11:30:00,1899-12-30 12:30:00
29,EME 2202,Tue,1899-12-30 15:30:00,1899-12-30 20:00:00
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
35,EME 2141,Thu,1899-12-30 17:30:00,1899-12-30 21:30:00
15-Mar,FIP 239,Mon;Wed;Fri,1899-12-30 8:30:00,1899-12-30 9:30:00
1,EME 0050,Wed,1899-12-30 14:30:00,1899-12-30 15:30:00
10,ART 203,Mon,1899-12-30 14:00:00,1899-12-30 16:00:00
35,ART 214,Wed,1899-12-30 17:30:00,1899-12-30 21:30:00
20-25; 27-33,ART 366,Tue;Thu,1899-12-30 8:00:00,1899-12-30 9:30:00
38,ART 219,Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
26,SCI 236,Wed,1899-12-30 10:00:00,1899-12-30 14:00:00
34,ART 215,Wed,1899-12-30 8:30:00,1899-12-30 12:30:00
35,ART 204,Thu,1899-12-30 12:30:00,1899-12-30 16:30:00
3; 5; 7; 9; 11; 13; 15,ASC 165,Tue,1899-12-30 11:30:00,1899-12-30 13:30:00
7; 9; 11; 13; 15,ART 202,Wed,1899-12-30 17:00:00,1899-12-30 19:00:00
15-Mar,FIP 204,Mon;Wed;Fri,1899-12-30 11:30:00,1899-12-30 12:30:00
16-17,EME 2202,Fri,1899-12-30 7:00:00,1899-12-30 8:00:00
20-25; 27-33,ART 281,Mon;Wed;Fri,1899-12-30 12:30:00,1899-12-30 13:30:00
14,ART 112,Fri,1899-12-30 17:00:00,1899-12-30 20:00:00
16,SCI 236,Tue;Wed;Thu;Fri,1899-12-30 9:00:00,1899-12-30 18:00:00
34-36,ART 106,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
15-Mar,FIP 250,Wed,1899-12-30 10:30:00,1899-12-30 11:30:00
15-Mar,ART 102,Tue,1899-12-30 9:30:00,1899-12-30 12:30:00
37-50,LIB L305,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
50,EME 2202,Mon;Tue;Wed;Thu;Fri,1899-12-30 13:00:00,1899-12-30 16:00:00
15,ART 108,Fri,1899-12-30 15:00:00,1899-12-30 17:30:00
35,SCI 126,Tue,1899-12-30 8:30:00,1899-12-30 12:30:00
17,FIP 204,Tue,1899-12-30 18:00:00,1899-12-30 20:30:00
4,LIB L306,Mon,1899-12-30 14:00:00,1899-12-30 16:30:00
20-25; 27-33,ART 281,Mon,1899-12-30 10:30:00,1899-12-30 11:30:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,1899-12-30 15:00:00,1899-12-30 21:00:00
34,FIP 129,Tue,1899-12-30 12:30:00,1899-12-30 16:30:00
7,EME 2181,Thu,1899-12-30 13:00:00,1899-12-30 14:00:00
27,ART 110,Mon,1899-12-30 15:30:00,1899-12-30 17:00:00
40,ART 203,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
34,ASC 130,Thu,1899-12-30 17:30:00,1899-12-30 21:30:00
15-Mar,ASC 130,Mon;Wed,1899-12-30 17:00:00,1899-12-30 18:30:00
6-7; 10; 15,FIP 121,Thu,1899-12-30 14:00:00,1899-12-30 16:00:00
33,EME 2111,Tue,1899-12-30 17:00:00,1899-12-30 18:00:00
15-Mar,ART 366,Mon;Wed,1899-12-30 15:30:00,1899-12-30 17:00:00
18,ART 382,Mon,1899-12-30 8:30:00,1899-12-30 13:30:00
20-25; 27-33,ART 366,Tue;Thu,1899-12-30 11:00:00,1899-12-30 12:30:00
21,FIP 138,Tue,1899-12-30 11:30:00,1899-12-30 14:00:00
35,EME 0050,Tue,1899-12-30 8:30:00,1899-12-30 12:30:00
24-33,ART 281,Thu,1899-12-30 17:00:00,1899-12-30 18:00:00
20-25; 27-33,ART 202,Tue;Thu,1899-12-30 9:30:00,1899-12-30 11:00:00
20-25; 27-33,EME 2111,Thu,1899-12-30 15:30:00,1899-12-30 16:30:00
20-25; 27-33,FIP 204,Mon;Wed;Fri,1899-12-30 8:30:00,1899-12-30 9:30:00
20-25; 27-33,EME 2111,Mon;Wed;Fri,1899-12-30 10:30:00,1899-12-30 11:30:00
20-25; 27-33,EME 2141,Mon,1899-12-30 17:00:00,1899-12-30 20:00:00
5,EME 1101,Tue,1899-12-30 18:00:00,1899-12-30 21:00:00
34,ASC 165,Wed,1899-12-30 8:30:00,1899-12-30 12:30:00
11,EME 1153,Tue,1899-12-30 13:00:00,1899-12-30 15:00:00
8,FIP 140,Fri,1899-12-30 12:30:00,1899-12-30 14:00:00
34,SCI 396,Thu,1899-12-30 8:30:00,1899-12-30 12:30:00
35,ASC 130,Wed,1899-12-30 12:30:00,1899-12-30 16:30:00
34,ASC 165,Tue,1899-12-30 8:30:00,1899-12-30 12:30:00
8,ART 366,Wed,1899-12-30 18:30:00,1899-12-30 20:00:00
8,EME 2181,Thu,1899-12-30 15:30:00,1899-12-30 19:00:00
30,SCI 337,Tue,1899-12-30 17:00:00,1899-12-30 19:00:00
15-Mar,LIB L312,Mon;Wed;Fri,1899-12-30 11:30:00,1899-12-30 12:30:00
13,FIP 139,Tue,1899-12-30 17:00:00,1899-12-30 18:30:00
15-Mar,ART 219,Tue,1899-12-30 11:30:00,1899-12-30 12:30:00
15-May,ART 110,Thu,1899-12-30 16:00:00,1899-12-30 17:30:00
39-43,SCI 396,Tue;Wed;Fri,1899-12-30 8:30:00,1899-12-30 11:00:00
37,FIP 139,Mon,1899-12-30 11:00:00,1899-12-30 17:00:00
15-Mar,EME 1121,Mon,1899-12-30 12:30:00,1899-12-30 15:30:00
9,ART 103,Thu,1899-12-30 17:00:00,1899-12-30 18:30:00
16,FIP 204,Mon,1899-12-30 12:30:00,1899-12-30 17:30:00
47-52,ART 281,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
36,FIP 129,Mon,1899-12-30 8:30:00,1899-12-30 12:30:00
29,ART 281,Mon,1899-12-30 18:00:00,1899-12-30 20:00:00
10,ART 382,Thu,1899-12-30 12:30:00,1899-12-30 13:30:00
20-25; 27-33,EME 1121,Fri,1899-12-30 13:00:00,1899-12-30 16:00:00
16,FIP 204,Thu,1899-12-30 16:30:00,1899-12-30 21:30:00
34-36,ART 112,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
21-33,LIB L305,Tue,1899-12-30 17:30:00,1899-12-30 21:30:00
38,ART 214,Thu,1899-12-30 9:30:00,1899-12-30 15:00:00
52,ART 376,Mon;Tue;Wed;Thu;Fri,1899-12-30 7:00:00,1899-12-30 22:00:00
15-Mar,FIP 121,Mon;Wed,1899-12-30 12:30:00,1899-12-30 14:00:00
39-44,ART 210,Wed;Fri,1899-12-30 8:30:00,1899-12-30 12:00:00
17,SCI 236,Fri,1899-12-30 9:30:00,1899-12-30 17:00:00
7,EME 1153,Fri,1899-12-30 16:00:00,1899-12-30 17:00:00
15-Mar,FIP 133,Mon,1899-12-30 17:00:00,1899-12-30 19:00:00
48,EME 2202,Mon;Tue;Wed;Thu;Fri,1899-12-30 9:00:00,1899-12-30 16:00:00
17,EME 0050,Mon;Wed;Thu;Fri;Sat,1899-12-30 17:30:00,1899-12-30 21:30:00
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
2,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
9,ART 206,Thu,1899-12-30 14:00:00,1899-12-30 16:00:00
15-Mar,FIP 140,Mon,1899-12-30 16:30:00,1899-12-30 18:30:00
34,FIP 239,Thu,1899-12-30 8:30:00,1899-12-30 12:30:00
1,EME 0050,Wed,1899-12-30 7:00:00,1899-12-30 14:30:00
20-25; 27-33,ASC 130,Tue;Thu,1899-12-30 9:30:00,1899-12-30 11:00:00
36,ASC 130,Tue,1899-12-30 8:30:00,1899-12-30 12:30:00
16,EME 1101,Mon,1899-12-30 17:30:00,1899-12-30 21:30:00
15-Mar,FIP 204,Tue;Thu,1899-12-30 15:30:00,1899-12-30 17:00:00
1,FIP 121,Tue;Wed;Thu;Fri;Sat;Sun,1899-12-30 8:00:00,1899-12-30 20:00:00
1,ART 202,Thu;Fri;Sat;Sun,1899-12-30 7:00:00,1899-12-30 22:00:00
15-Mar,ART 108,Mon;Wed;Fri,1899-12-30 8:00:00,1899-12-30 9:00:00
31,ART 218,Fri,1899-12-30 9:30:00,1899-12-30 11:00:00
27,FIP 250,Thu,1899-12-30 19:00:00,1899-12-30 21:30:00
9,FIP 204,Wed,1899-12-30 20:00:00,1899-12-30 21:30:00
20-25; 27-33,ART 106,Mon;Wed,1899-12-30 8:00:00,1899-12-30 9:30:00
15-Mar,EME 1202,Thu,1899-12-30 14:30:00,1899-12-30 17:00:00
27,LIB 303,Mon,1899-12-30 12:30:00,1899-12-30 14:30:00
39-44,ART 108,Tue;Wed;Fri,1899-12-30 12:00:00,1899-12-30 14:30:00
