Weeks,Location,Day,Start Time,End Time
34-36,ART 206,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
35,SCI 396,Thu,17:30,21:30
20-25;27-33,ART 386,Tue;Thu,11:00,12:30
20-25;27-33,ART 203,Mon;Wed,8:30,10:00
2,ART 208,Mon,7:00,22:00
15-Mar,ART 102,Wed,14:00,15:00
34,ASC 140,Wed,17:30,21:30
34-36,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
23,FIP 250,Tue,13:00,16:00
35,ART 366,Wed,8:30,12:30
46-51,ASC 130,Mon;Thu,13:00,16:30
15-Mar,EME 2205,Thu,15:30,17:30
15-Jun,EME 1151,Thu,18:30,20:00
1,ART 376,Thu;Fri;Sat;Sun,7:00,22:00
10,LIB L317,Fri,17:00,18:30
36,SCI 247,Wed,12:30,16:30
38,ART 206,Sat,12:00,12:30
15-Apr,SCI 247,Mon;Wed;Fri,8:30,9:30
29,ART 208,Mon,17:00,20:00
16-17,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
36,EME 2205,Mon,8:30,12:30
16,ART 366,Mon;Tue;Wed,12:30,16:30
11,SCI 236,Thu,8:00,10:00
13,LIB 303,Tue,9:30,12:30
9,ART 210,Thu,18:00,20:30
14,FIP 124,Sun,12:30,17:30
35,FIP 121,Sat,17:30,21:30
34,ASC 130,Thu,17:30,21:30
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,ASC 140,Mon;Wed;Fri,10:30,11:30
15-Mar,ART 210,Tue;Thu,11:00,12:30
26,FIP 133,Wed,7:00,16:30
16,FIP 140,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
44,EME 1202,Thu;Fri;Sat,7:00,22:00
1,ART 376,Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,FIP 124,Tue;Thu,9:30,11:00
17,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat,7:00,14:00
25,ART 382,Mon,12:30,13:30
15-Mar,LIB L317,Mon;Wed,14:00,15:30
15-Mar,FIP 121,Mon;Wed;Fri,11:30,12:30
37-52,LIB 303,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
31,EME 0050,Wed,19:30,21:30
20-25;27-33,ART 202,Tue;Thu,9:30,11:00
35,EME 1121,Thu,12:30,16:30
1,ART 281,Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,ART 208,Mon;Wed,14:00,15:30
16-17,EME 1101,Tue,9:30,12:00
15-Mar,LIB 303,Tue;Thu,12:30,14:00
27,SCI 396,Tue,10:00,11:00
38,ART 104,Sat,16:30,17:30
15-Mar,ART 215,Wed,8:30,11:30
20-25;27-33,ART 103,Tue;Thu,9:30,11:00
3,FIP 140,Sat,8:30,15:00
21-32,SCI 236,Fri,14:00,16:00
35,EME 2202,Wed,8:30,12:30
38,ART 203,Sat,10:00,12:00
46-51,SCI 337,Tue;Wed;Fri,8:30,11:00
22,ART 108,Sat,7:00,18:00
41,EME 1153,Fri,8:30,12:00
15-Mar,EME 1101,Tue;Thu,8:00,9:30
27,FIP 250,Thu,19:00,21:30
34-36,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
26,ART 215,Tue;Wed;Thu;Fri,8:30,12:30
20-25;27-33,EME 0050,Tue;Thu,11:00,12:30
27,EME 2181,Sun,12:00,15:00
38,ART 110,Sat,10:00,12:00
10,EME 2181,Sat,7:00,17:00
22,EME 0050,Mon,18:30,20:30
2,ART 386,Mon,7:00,22:00
15-Mar,LIB L312,Mon;Wed;Fri,11:30,12:30
16,LIB L312,Fri,8:30,12:30
1,ART 218,Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,LIB L305,Mon;Wed;Fri,10:30,11:30
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,ART 210,Mon;Wed,14:00,15:30
20-25;27-33,ASC 130,Tue;Thu,9:30,11:00
10,ART 112,Fri,10:30,12:00
15-Mar,EME 1151,Fri,10:30,12:30
38,ART 206,Sat,14:00,16:30
46-48,EME 1151,Mon;Tue;Wed;Thu;Fri,13:00,16:00
38,ART 110,Sat,14:00,16:30
38,ART 204,Sat,10:00,12:00
34,ART 114,Wed,8:30,12:30
20;22;24;28;30;32,EME 2205,Tue,12:30,14:30
1,ART 108,Thu;Fri;Sat;Sun,7:00,22:00
14,FIP 121,Sun,12:30,17:30
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14,LIB L304,Sat,8:00,22:00
15,EME 2202,Thu,7:30,10:30
17,ART 374,Thu,16:00,21:30
12,ART 215,Fri,10:30,12:30
28,ART 112,Fri,16:30,20:00
5,EME 1121,Sat,12:00,13:00
2,ART 203,Mon,7:00,22:00
27,ASC 165,Thu,11:00,12:30
20-25;27-33,FIP 133,Fri,13:30,16:30
16,ART 114,Tue,13:00,14:00
7,FIP 204,Thu,17:00,20:00
38,ART 208,Mon;Tue;Wed;Thu;Fri;Sat,9:00,17:00
20-25;27-33,FIP 138,Tue;Thu,14:00,15:30
36,EME 2141,Tue,17:30,21:30
15-Mar,ART 214,Mon;Wed;Fri,13:30,14:30
38,ART 106,Sat,16:30,17:30
27,LIB 303,Thu,13:30,15:30
29,ART 103,Mon,17:00,20:00
9,FIP 138,Sat,19:00,21:00
28,ART 206,Thu,17:00,21:00
15-Mar,FIP 204,Tue;Thu,11:00,12:30
21,ART 102,Tue,19:00,21:00
17,EME 1153,Sat,16:00,21:30
20-25;27-33,SCI 234,Fri,9:30,11:30
45,ART 365,Mon;Tue;Wed;Thu;Fri,7:00,22:00
15-Mar,FIP 133,Fri,14:30,15:30
47,EME 2202,Mon;Tue;Wed;Thu;Fri,9:00,12:00
15-Mar,FIP 250,Mon;Wed,12:30,14:00
35,EME 1121,Thu,17:30,21:30
16,SCI 333,Fri,13:00,17:30
26,FIP 138,Thu,13:30,16:00
16,ART 104,Mon;Tue;Thu;Sat,7:00,13:00
5,EME 1101,Wed,17:30,19:00
22,EME 1121,Sat,11:30,17:00
34-36,ART 112,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
35,FIP 133,Fri,12:30,16:30
20-25;27-33,ART 110,Tue;Thu,12:30,14:00
1,SCI 236,Thu,14:30,15:30
1,ART 103,Thu;Fri;Sat;Sun,7:00,22:00
14,ART 108,Sat,7:00,16:00
1,ART 208,Thu;Fri;Sat;Sun,7:00,22:00
15,ART 114,Sat,9:00,17:00
15-Mar,ART 366,Mon;Wed;Fri,10:30,11:30
15-Mar,SCI 333,Tue;Thu,9:30,11:00
20-25;27-33,SCI 247,Tue;Thu,14:00,15:30
17,EME 2181,Thu,16:00,21:30
20-25;27-33,LIB L317,Mon;Wed;Fri,11:30,12:30
15-Mar,EME 2205,Fri,13:30,14:30
35,FIP 140,Wed,8:30,12:30
6,ART 210,Sun,8:00,19:00
17,EME 2181,Thu,16:00,21:30
7,ART 110,Wed,15:30,18:00
10,ART 382,Thu,11:00,12:30
20-25;27-33,EME 2181,Tue;Thu,12:30,14:00
15-Apr,ART 281,Tue;Thu,15:30,16:30
17,ART 104,Mon,9:00,17:00
24,ART 110,Sun,16:00,18:00
15-Mar,ART 386,Mon;Wed,10:30,11:30
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
20-25;27-33,EME 1202,Mon,10:30,11:30
34-36,ART 102,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
1,ART 106,Thu;Fri;Sat;Sun,7:00,22:00
6,FIP 124,Sat,11:00,19:00
20-25;27-33,FIP 239,Tue;Thu,11:00,12:30
25,FIP 239,Thu,17:00,19:00
15-Mar,ART 104,Mon;Wed;Fri,8:30,11:30
28,ART 108,Thu,17:00,21:00
20-25;27-33,FIP 204,Tue;Thu,9:30,11:00
15-Mar,FIP 239,Mon,12:30,13:30
17,SCI 236,Sat,12:30,18:00
35,FIP 133,Fri,12:30,16:30
20,LIB L304,Fri,12:30,13:30
20-25;27-33,EME 0050,Mon;Wed;Fri,10:30,11:30
15-Mar,ART 202,Tue;Thu,15:30,17:00
15-Mar,ART 374,Tue,13:00,16:00
34,ART 386,Wed,8:30,12:30
3,ART 218,Wed;Thu;Fri;Sat;Sun,18:30,22:00
38,ART 204,Sat,14:00,16:30
29,ART 106,Sat,9:00,15:00
34,ART 114,Wed,8:30,12:30
20-25;27-33,LIB L317,Mon;Wed;Fri,9:30,10:30
36,FIP 204,Tue,12:30,16:30
17,EME 2111,Sat,20:00,22:00
34,ASC 140,Thu,17:30,21:30
22,EME 2205,Sun,7:00,20:00
10,FIP 250,Sat,7:30,18:00
1,FIP 138,Tue;Wed;Thu,9:30,17:00
1,ART 112,Thu,14:30,18:00
2,ART 386,Mon,7:00,22:00
34-36,ART 106,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16,LIB L306,Fri,13:00,15:00
17,EME 2111,Thu,16:00,21:30
18,ART 108,Mon;Tue,7:00,22:00
24,ART 102,Sat,10:00,15:00
34-36,ART 108,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
34-36,FIP 139,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14,FIP 138,Thu,11:00,12:30
5,ART 210,Sat,7:00,17:00
6,ASC 130,Fri,15:30,17:30
35,SCI 396,Thu,17:30,21:30
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
28,ART 206,Fri,17:00,20:00
34,EME 1202,Tue,8:30,12:30
34,SCI 247,Tue,12:30,16:30
2,ART 103,Sun,8:00,18:00
52,ART 382,Mon;Tue;Wed;Thu;Fri,7:00,22:00
5,FIP 129,Sat,12:00,22:00
15,EME 0050,Sat,9:00,17:00
25,FIP 250,Thu,15:30,18:30
11,EME 1202,Wed,15:30,16:30
21-33,SCI 396,Tue;Thu,14:00,15:30
15,FIP 204,Sat,9:00,17:00
15-Mar,SCI 247,Mon;Wed;Fri,12:30,13:30
51-52,LIB L304,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
2,ART 386,Sun,8:00,18:00
13-14,ART 103,Fri,17:30,21:00
26,SCI 337,Wed,7:00,16:30
15-Mar,FIP 239,Thu,8:00,9:30
28,EME 1151,Thu,13:00,15:00
15-Mar,ART 202,Fri,13:30,16:30
27,FIP 239,Sat,7:30,20:00
27,FIP 138,Mon,18:00,21:00
26,FIP 129,Wed,7:00,16:30
20-25;27-33,EME 0050,Tue;Thu,9:30,11:00
1,ART 218,Thu;Fri;Sat;Sun,7:00,22:00
9,ART 114,Wed,18:00,22:00
37-52,LIB L317,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,ART 103,Tue;Thu,15:30,17:00
1,ART 214,Thu;Fri;Sat;Sun,7:00,22:00
16-17,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
27,ART 202,Thu,18:00,21:00
34-36,ART 108,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
23,ART 204,Thu,14:00,15:00
1,ART 382,Thu;Fri;Sat;Sun,7:00,22:00
1,ART 204,Thu;Fri;Sat;Sun,7:00,22:00
16,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat,7:00,14:00
34,LIB L306,Thu,17:30,21:30
21;23;25;27;29;31;33,ART 114,Fri,13:30,15:30
20-25;27-33,SCI 396,Mon;Wed;Fri,9:30,10:30
15-Mar,EME 1121,Mon;Wed,15:30,17:00
27,FIP 239,Thu,18:00,21:00
31,ART 103,Wed,17:00,18:30
9,FIP 239,Fri,18:00,21:00
1,ART 366,Thu;Fri;Sat;Sun,7:00,22:00
15-Apr,ART 218,Mon;Tue;Wed;Thu;Fri;Sat;Sun,18:30,22:00
23,ART 102,Fri,8:30,10:00
35,EME 1202,Wed,12:30,16:30
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
16-17,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,LIB L306,Mon,12:00,13:30
15-May,ART 204,Thu,16:00,17:30
34,EME 1121,Wed,8:30,12:30
36,SCI 247,Wed,17:30,21:30
16,SCI 333,Tue;Wed,17:30,21:30
34-36,ART 202,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
28,FIP 239,Tue,12:30,14:00
35,EME 0050,Wed,17:30,21:30
15-Mar,EME 1202,Tue,15:30,17:00
25,ART 210,Thu,15:00,17:30
8,FIP 239,Wed,18:30,21:00
36,EME 0050,Tue,8:30,12:30
49-50,EME 1151,Mon;Tue;Thu;Fri,9:00,12:00
14,LIB L306,Sat,8:00,22:00
34,ART 203,Wed,12:30,16:30
17,ART 102,Mon;Tue;Wed,9:00,17:00
27,FIP 138,Wed,17:30,20:00
11,ART 366,Sun,17:00,19:00
15-Mar,ART 376,Wed;Fri,12:30,14:00
20-25;27-33,ART 366,Tue;Thu,14:00,15:30
20-25;27-33,FIP 138,Wed,16:30,17:30
17,EME 2181,Sat,16:00,21:30
34-36,ART 108,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14,FIP 140,Sun,12:30,17:30
15-Mar,FIP 129,Tue,16:30,17:30
52,ART 376,Mon;Tue;Wed;Thu;Fri,7:00,22:00
34-36,ART 219,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
17,LIB 303,Sat,10:00,18:00
17,ART 102,Sat,12:30,18:00
16,ART 104,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
13,ASC 140,Tue,17:00,20:00
15-Mar,FIP 124,Wed;Fri,12:30,14:00
11,ART 106,Wed,18:00,21:00
37-52,LIB L312,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,SCI 236,Wed;Fri,12:30,14:00
16,LIB L312,Tue;Fri;Sat,17:30,21:30
31,EME 2111,Sun,9:00,13:00
17,FIP 124,Mon;Tue;Wed;Thu;Fri;Sat,7:00,14:00
15,ART 206,Sat,9:00,17:00
20-25;27-33,ART 103,Tue;Thu,9:30,11:00
15-Apr,SCI 236,Mon;Tue;Wed;Thu;Fri;Sat;Sun,18:30,22:00
35,ART 366,Sat,12:30,16:30
40-42,ART 102,Mon;Tue;Wed;Thu;Fri,8:30,11:30
37-52,LIB L302,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
20-25;27-33,ART 204,Mon;Wed,15:30,17:00
35,FIP 133,Fri,12:30,16:30
7,ASC 140,Thu,18:00,19:30
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
34-36,ART 110,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
15-Mar,LIB L304,Wed,9:30,10:30
15-May,FIP 139,Fri,12:30,14:00
16,ART 102,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
10,ART 365,Fri,13:00,14:30
34,ASC 130,Tue,17:30,21:30
35,EME 0050,Wed,8:30,12:30
17,ART 203,Sat,12:30,18:00
45,ART 382,Mon;Tue;Wed;Thu;Fri,7:00,22:00
15-Mar,LIB L312,Mon;Wed;Fri,11:30,12:30
20-25;27-33,ART 218,Mon;Wed;Fri,13:30,14:30
4,EME 1101,Sat,14:00,16:00
26,ART 215,Tue;Wed;Thu;Fri,8:30,12:30
30-33,ART 202,Sat,10:00,15:00
20-25;27-33,ART 102,Mon;Wed;Fri,11:30,12:30
15-Mar,EME 1101,Mon;Wed;Fri,8:30,9:30
16,ART 106,Mon;Tue;Wed;Thu;Fri;Sat,15:00,21:00
35,ART 214,Tue,12:30,16:30
20-25;27-33,FIP 204,Tue,18:00,21:00
15-Mar,ART 106,Mon;Wed;Fri,11:30,12:30
20-25;27-33,ART 102,Tue;Thu,12:30,14:00
27,ART 206,Thu,17:00,20:00
10,LIB 303,Thu,14:00,17:00
51-52,LIB L306,Mon;Tue;Wed;Thu;Fri;Sat;Sun,7:00,22:00
14,SCI 236,Mon,15:30,18:00
37-41,EME 1202,Mon;Tue;Wed;Thu;Fri,8:30,16:00
6,ART 210,Sun,8:00,19:00
35,ASC 140,Thu,17:30,21:30
28,SCI 128,Mon,15:30,18:30
10,ART 110,Fri,10:30,11:30
34,EME 1101,Tue,12:30,16:30
36,EME 2141,Tue,17:30,21:30
31,EME 1153,Sun,7:00,22:00
15-Mar,LIB L302,Wed,12:30,14:30
15-Mar,SCI 396,Tue;Thu,9:30,11:00
24,EME 2111,Fri,17:00,22:00
25,FIP 139,Thu,11:00,14:00
37-41,EME 1202,Mon;Tue;Wed;Thu;Fri,8:30,16:00
7,EME 2141,Tue,17:00,18:00
2,ART 214,Mon,7:00,22:00
15-Mar,SCI 128,Fri,8:30,12:30
18,ART 382,Mon,8:30,13:30
14,SCI 236,Mon,15:30,18:00
20-25;27-33,ART 374,Thu,14:00,17:00
30-33,ART 202,Sat,10:00,15:00
35,ASC 130,Thu,8:30,12:30
30,EME 1153,Wed,18:30,20:00
29,ART 204,Mon,17:00,20:00
26,EME 1202,Tue,8:30,16:30
20-25;27-33,FIP 239,Mon;Wed;Fri,9:30,10:30
28,ART 202,Tue,12:30,15:30
16,ART 366,Fri,12:30,16:30
9,ART 203,Mon,14:00,16:30
